raw_x,raw_y,sig_x,sig_y,,Value,Standard Error,t_Value,Prob_t,Dependency,0~1,"Normalize to [0, 1] of A","Normalize to [0, 1] of B",-4~4,adj4_x,adj4_y,sig4_x,sig4_y,,Value,Standard Error,t_Value,Prob_t,Dependency,-6~6,adj6_x,adj6_y,sig6_x,sig6_y,,Value,Standard Error,t_Value,Prob_t,Dependency,,,,,,,,
0.028,1.65106,0.01,1.4115957818469,A1,1.41142386485866,0.0076076247477949,185.527534762775,0,0.396245602447808,,0.75,0.987207800325013,--,2,3.8976624026001,-4,-4.08481080555342,A1,-4.09054161061163,0.25359805817892,-16.1300194488305,1.73645005041578E-8,0.396245602447808,,3,5.84649360390016,-6,-6.12721620833012,A1,-6.13581241591745,0.38039708726838,-16.1300194488305,1.73645005041578E-8,0.396245602447808,,,,,,,,
0.03,1.6329,0.010024024024024,1.41159839024024,A2,1.64248631448958,0.00650173442095512,252.622793880328,0,0.330496815775721,,0.833333333333333,0.911537980749198,--,2.66666666666667,3.29230384599358,-3.99199199199199,-4.08472385548598,A2,3.61186097719331,0.216733511261473,16.6649862135804,1.26655270715759E-8,0.330496815775722,,4,4.93845576899037,-5.98798798798799,-6.12708578322897,A2,5.41779146578997,0.325100266892209,16.6649862135804,1.26655270715759E-8,0.330496815775721,,,,,,,,
0.032,1.63067,0.010048048048048,1.41160103817879,x0,0.0214824439349959,3.17054723607181E-4,67.7562651979658,1.19904086659517E-14,0.397216168055238,,0.916666666666667,0.902245926913621,--,3.33333333333333,3.21796741530897,-3.98398398398398,-4.08463558718964,x0,-0.172518688334704,0.10568490786906,-1.6323871763076,0.133648207035753,0.397216168055238,,5,4.82695112296346,-5.97597597597598,-6.12695338078446,x0,-0.258778032502056,0.15852736180359,-1.6323871763076,0.133648207035753,0.397216168055238,,,,,,,,
0.034,1.63737,0.0100720720720721,1.41160372626118,dx,0.00159418888014244,2.63815913911164E-4,6.04280786745586,1.24794020418095E-4,0.344405179143502,,1,0.930163756823201,--,4,3.44131005458561,-3.97597597597598,-4.08454598071001,dx,0.531396293380814,0.0879386379703881,6.04280786745587,1.24794020418095E-4,0.344405179143503,,6,5.16196508187841,-5.96396396396396,-6.12681897106501,dx,0.797094440071222,0.131907956955582,6.04280786745587,1.24794020418095E-4,0.344405179143503,,,,,,,,
0.032,1.65413,0.0100960960960961,1.41160645509502,span,0.231062449630914,0.0105177196854009,,,,,0.916666666666667,1,--,3.33333333333333,4,-3.96796796796797,-4.08445501579157,span,7.70240258780494,0.350605264228173,,,,,5,6,-5.95195195195195,-6.12668252368736,span,11.5536038817074,0.52590789634225,,,,,,,,,,,
0.024,1.61753,0.0101201201201201,1.41160922529714,EC50,1.02171485288755,3.23939520281933E-4,,,,,0.583333333333333,0.847493645568565,--,0.666666666666666,2.77994916454852,-3.95995995995996,-4.0843626718732,EC50,0.841542561635757,0.0889383476435436,,,,,1,4.16992374682278,-5.93993993993994,-6.12654400780981,EC50,0.771994361684086,0.122382229716813,,,,,,,,,,,
0.01,1.41442,0.0101441441441441,1.41161203749365,,,,,,,,0,0.00116671527980357,--,-4,-3.99066627776157,-3.95195195195195,-4.08426892808356,,,,,,,,-6,-5.98599941664236,-5.92792792792793,-6.12640339212535,,,,,,,,,,,,,,
0.012,1.41414,0.0101681681681682,1.41161489232011,,,,,,,,0.0833333333333333,0,--,-3.33333333333333,-4,-3.94394394394394,-4.08417376323646,,,,,,,,-5,-6,-5.91591591591592,-6.12626064485469,,,,,,,,,,,,,,
0.014,1.416096,0.0101921921921922,1.41161779042166,,,,,,,,0.166666666666667,0.00815033959748351,--,-2.66666666666667,-3.93479728322013,-3.93593593593594,-4.08407715582613,,,,,,,,-4,-5.9021959248302,-5.9039039039039,-6.1261157337392,,,,,,,,,,,,,,
0.016,1.414978,0.0102162162162162,1.41162073245318,,,,,,,,0.25,0.00349181215884044,--,-2,-3.97206550272928,-3.92792792792793,-4.08397908402246,,,,,,,,-3,-5.95809825409391,-5.89189189189189,-6.12596862603368,,,,,,,,,,,,,,
0.018,1.41889,0.0102402402402402,1.41162371907942,,,,,,,,0.333333333333333,0.0197924913538065,--,-1.33333333333333,-3.84166006916955,-3.91991991991992,-4.08387952566609,,,,,,,,-2,-5.76249010375432,-5.87987987987988,-6.12581928849913,,,,,,,,,,,,,,
0.02,1.499633,0.0102642642642643,1.41162675097517,,,,,,,,0.416666666666667,0.35623567648652,--,-0.666666666666667,-1.15011458810784,-3.91191191191191,-4.08377845826353,,,,,,,,-1,-1.72517188216176,-5.86786786786787,-6.1256676873953,,,,,,,,,,,,,,
0.022,1.527571,0.0102882882882883,1.41162982882536,,,,,,,,0.5,0.472648860369182,--,-8.88178419700125E-16,-0.218809117046544,-3.9039039039039,-4.08367585898215,,,,,,,,-1.77635683940025E-15,-0.328213675569816,-5.85585585585586,-6.12551378847322,,,,,,,,,,,,,,
0.024,1.596301,0.0103123123123123,1.41163295332528,,,,,,,,0.583333333333333,0.759035793158048,--,0.666666666666666,2.07228634526438,-3.8958958958959,-4.08357170464506,,,,,,,,1,3.10842951789657,-5.84384384384384,-6.12535755696759,,,,,,,,,,,,,,
,,0.0103363363363363,1.41163612518068,,,,,,,,,,,,,-3.88788788788789,-4.08346597172602,,,,,,,,,,-5.83183183183183,-6.12519895758902,,,,,,,,,,,,,,
,,0.0103603603603604,1.41163934510797,,,,,,,,,,,,,-3.87987987987988,-4.08335863634415,,,,,,,,,,-5.81981981981982,-6.12503795451622,,,,,,,,,,,,,,
,,0.0103843843843844,1.41164261383433,,,,,,,,,,,,,-3.87187187187187,-4.08324967425868,,,,,,,,,,-5.80780780780781,-6.12487451138802,,,,,,,,,,,,,,
,,0.0104084084084084,1.41164593209792,,,,,,,,,,,,,-3.86386386386386,-4.08313906086354,,,,,,,,,,-5.7957957957958,-6.1247085912953,,,,,,,,,,,,,,
,,0.0104324324324324,1.41164930064801,,,,,,,,,,,,,-3.85585585585586,-4.08302677118189,,,,,,,,,,-5.78378378378378,-6.12454015677284,,,,,,,,,,,,,,
,,0.0104564564564565,1.41165272024516,,,,,,,,,,,,,-3.84784784784785,-4.08291277986061,,,,,,,,,,-5.77177177177177,-6.12436916979092,,,,,,,,,,,,,,
,,0.0104804804804805,1.41165619166139,,,,,,,,,,,,,-3.83983983983984,-4.08279706116464,,,,,,,,,,-5.75975975975976,-6.12419559174696,,,,,,,,,,,,,,
,,0.0105045045045045,1.41165971568035,,,,,,,,,,,,,-3.83183183183183,-4.08267958897129,,,,,,,,,,-5.74774774774775,-6.12401938345693,,,,,,,,,,,,,,
,,0.0105285285285285,1.41166329309749,,,,,,,,,,,,,-3.82382382382382,-4.08256033676445,,,,,,,,,,-5.73573573573574,-6.12384050514667,,,,,,,,,,,,,,
,,0.0105525525525526,1.41166692472024,,,,,,,,,,,,,-3.81581581581582,-4.08243927762871,,,,,,,,,,-5.72372372372372,-6.12365891644307,,,,,,,,,,,,,,
,,0.0105765765765766,1.41167061136818,,,,,,,,,,,,,-3.80780780780781,-4.08231638424342,,,,,,,,,,-5.71171171171171,-6.12347457636514,,,,,,,,,,,,,,
,,0.0106006006006006,1.41167435387324,,,,,,,,,,,,,-3.7997997997998,-4.0821916288766,,,,,,,,,,-5.6996996996997,-6.1232874433149,,,,,,,,,,,,,,
,,0.0106246246246246,1.41167815307986,,,,,,,,,,,,,-3.79179179179179,-4.08206498337884,,,,,,,,,,-5.68768768768769,-6.12309747506826,,,,,,,,,,,,,,
,,0.0106486486486486,1.41168200984521,,,,,,,,,,,,,-3.78378378378378,-4.08193641917704,,,,,,,,,,-5.67567567567568,-6.12290462876555,,,,,,,,,,,,,,
,,0.0106726726726727,1.41168592503934,,,,,,,,,,,,,-3.77577577577578,-4.08180590726812,,,,,,,,,,-5.66366366366366,-6.12270886090217,,,,,,,,,,,,,,
,,0.0106966966966967,1.4116898995454,,,,,,,,,,,,,-3.76776776776777,-4.08167341821259,,,,,,,,,,-5.65165165165165,-6.12251012731889,,,,,,,,,,,,,,
